Полное название акций ,тикет,сокращённое название 
Газпром нефть ПАО ао,SIBN,Газпром нефть
ГК Самолет ао,SMLT,Самолет
Сургутнефтегаз ПАО акции об.,SNGS,Сургутнефтегаз
Сургутнефтегаз ПАО ап,SNGSP,Сургутнефтегаз - привилегированные акции
СПБ Биржа ао,SPBE,СПБ Биржа
"ПАО ""СОЛЛЕРС""",SVAV,СОЛЛЕРС
Светофор Групп ао,SVET,Светофор 
"ПАО ""Татнефть"" ао",TATN,Татнефть
"ПАО ""Татнефть"" ап 3 вып.",TATNP,Татнефть - привилегированные акции
ГДР TCS Group Holding ORD SHS,TCSG,Тинькофф
"ао ПАО ""ТГК-1""",TGKA,ТГК-1
"ао ПАО ""ТГК-2""",TGKB,ТГК-2
"ап ПАО ""ТГК-2""",TGKBP,ТГК-2 - привилегированные акции
"ао ПАО ""ТГК-14""",TGKN,ТГК-14
ПАО ТМК,TRMK,ТМК
Транснефть ПАО акц.пр.,TRNFP,Транснефть - привилегированные акции
Таттелеком ПАО ао,TTLK,Таттелеком
Юнипро ПАО ао,UPRO,Юнипро
БАНК УРАЛСИБ ПАО ао,USBN,БАНК УРАЛСИБ
"Авиакомпания ""ЮТэйр"" (ПАО) ао",UTAR,"Авиакомпания ""ЮТэйр"""
VEON Ltd. ORD SHS,VEON-RX,VEON
ГДР VK Company Limited ORD SHS,VKCO,VK
Корп. ВСМПО-АВИСМА (ПАО) ао,VSMO,ВСМПО-АВИСМА
ао ПАО Банк ВТБ,VTBR,Банк ВТБ
ВУШ Холдинг ао,WUSH,ВУШ
PLLC Yandex N.V. class A shs,YNDX,Яндекс
